"Plot Title: RCSF2"
"#","Date Time, GMT-07:00","Water Content, m³/m³ (LGR S/N: 20205243, SEN S/N: 20198357, LBL: new sap flow 30 cm)","Water Content, m³/m³ (LGR S/N: 20205243, SEN S/N: 21077015, LBL: new sap flow 60 cm)"
233,05/06/21 11:00:01 AM,0.2828,0.3213
234,05/06/21 11:30:01 AM,0.2821,0.3213
235,05/06/21 12:00:01 PM,0.2821,0.3213
236,05/06/21 12:30:01 PM,0.2828,0.3220
237,05/06/21 01:00:01 PM,0.2828,0.3220
238,05/06/21 01:30:01 PM,0.2828,0.3220
239,05/06/21 02:00:01 PM,0.2828,0.3220
240,05/06/21 02:30:01 PM,0.2828,0.3220
241,05/06/21 03:00:01 PM,0.2821,0.3220
242,05/06/21 03:30:01 PM,0.2828,0.3220
243,05/06/21 04:00:01 PM,0.2821,0.3220
244,05/06/21 04:30:01 PM,0.2821,0.3213
245,05/06/21 05:00:01 PM,0.2821,0.3213
246,05/06/21 05:30:01 PM,0.2821,0.3213
247,05/06/21 06:00:01 PM,0.2828,0.3220
248,05/06/21 06:30:01 PM,0.2828,0.3228
249,05/06/21 07:00:01 PM,0.2821,0.3220
250,05/06/21 07:30:01 PM,0.2821,0.3228
251,05/06/21 08:00:01 PM,0.2828,0.3228
252,05/06/21 08:30:01 PM,0.2821,0.3228
253,05/06/21 09:00:01 PM,0.2821,0.3213
254,05/06/21 09:30:01 PM,0.2821,0.3220
255,05/06/21 10:00:01 PM,0.2814,0.3213
256,05/06/21 10:30:01 PM,0.2821,0.3213
257,05/06/21 11:00:01 PM,0.2821,0.3213
258,05/06/21 11:30:01 PM,0.2821,0.3228
259,05/07/21 12:00:01 AM,0.2821,0.3220
260,05/07/21 12:30:01 AM,0.2828,0.3220
261,05/07/21 01:00:01 AM,0.2828,0.3220
262,05/07/21 01:30:01 AM,0.2821,0.3220
263,05/07/21 02:00:01 AM,0.2821,0.3220
264,05/07/21 02:30:01 AM,0.2828,0.3220
265,05/07/21 03:00:01 AM,0.2821,0.3220
266,05/07/21 03:30:01 AM,0.2828,0.3220
267,05/07/21 04:00:01 AM,0.2821,0.3213
268,05/07/21 04:30:01 AM,0.2821,0.3206
269,05/07/21 05:00:01 AM,0.2821,0.3220
270,05/07/21 05:30:01 AM,0.2828,0.3213
271,05/07/21 06:00:01 AM,0.2821,0.3213
272,05/07/21 06:30:01 AM,0.2821,0.3206
273,05/07/21 07:00:01 AM,0.2821,0.3213
274,05/07/21 07:30:01 AM,0.2828,0.3213
275,05/07/21 08:00:01 AM,0.2821,0.3213
276,05/07/21 08:30:01 AM,0.2821,0.3206
277,05/07/21 09:00:01 AM,0.2828,0.3206
278,05/07/21 09:30:01 AM,0.2821,0.3213
279,05/07/21 10:00:01 AM,0.2821,0.3206
280,05/07/21 10:30:01 AM,0.2821,0.3213
281,05/07/21 11:00:01 AM,0.2821,0.3213
282,05/07/21 11:30:01 AM,0.2828,0.3213
283,05/07/21 12:00:01 PM,0.2828,0.3206
284,05/07/21 12:30:01 PM,0.2821,0.3206
285,05/07/21 01:00:01 PM,0.2821,0.3206
