"Plot Title: CM2SM"
"#","Date Time, GMT-08:00","Water Content, m³/m³ (LGR S/N: 20418942, SEN S/N: 20684002, LBL: 30 CM)","Water Content, m³/m³ (LGR S/N: 20418942, SEN S/N: 20684005, LBL: 10 CM)","Water Content, m³/m³ (LGR S/N: 20418942, SEN S/N: 20684009, LBL: 1 M)"
123,12/11/19 05:00:01 AM,0.3163,0.2803,0.1703
124,12/11/19 05:30:01 AM,0.3163,0.2803,0.2303
125,12/11/19 06:00:01 AM,0.3163,0.2800,0.2303
126,12/11/19 06:30:01 AM,0.3163,0.2800,0.2303
127,12/11/19 07:00:01 AM,0.3163,0.2800,0.2303
128,12/11/19 07:30:01 AM,0.3163,0.2796,0.2303
129,12/11/19 08:00:01 AM,0.3163,0.2796,0.2303
130,12/11/19 08:30:01 AM,0.3163,0.2796,0.2303
131,12/11/19 09:00:01 AM,0.3163,0.2793,0.2299
132,12/11/19 09:30:01 AM,0.3163,0.2793,0.2303
133,12/11/19 10:00:01 AM,0.3160,0.2793,0.2299
134,12/11/19 10:30:01 AM,0.3160,0.2790,0.2299
135,12/11/19 11:00:01 AM,0.3160,0.2790,0.2299
136,12/11/19 11:30:01 AM,0.3160,0.2793,0.2303
137,12/11/19 12:00:01 PM,0.3160,0.2800,0.2303
138,12/11/19 12:30:01 PM,0.3160,0.2806,0.2299
139,12/11/19 01:00:01 PM,0.3160,0.2821,0.2299
140,12/11/19 01:30:01 PM,0.3160,0.2837,0.2299
141,12/11/19 02:00:01 PM,0.3163,0.2871,0.2299
142,12/11/19 02:30:01 PM,0.3163,0.2904,0.2299
143,12/11/19 03:00:01 PM,0.3183,0.2908,0.2294
144,12/11/19 03:30:01 PM,0.3207,0.2898,0.2299
145,12/11/19 04:00:01 PM,0.3223,0.2887,0.2299
146,12/11/19 04:30:01 PM,0.3228,0.2884,0.2294
147,12/11/19 05:00:01 PM,0.3228,0.2877,0.2294
148,12/11/19 05:30:01 PM,0.3228,0.2881,0.2294
149,12/11/19 06:00:01 PM,0.3228,0.2898,0.2299
150,12/11/19 06:30:01 PM,0.3240,0.2901,0.2299
151,12/11/19 07:00:01 PM,0.3249,0.2908,0.2299
152,12/11/19 07:30:01 PM,0.3261,0.2904,0.2299
153,12/11/19 08:00:01 PM,0.3269,0.2919,0.2294
154,12/11/19 08:30:01 PM,0.3277,0.2919,0.2299
155,12/11/19 09:00:01 PM,0.3286,0.2904,0.2299
156,12/11/19 09:30:01 PM,0.3277,0.2895,0.2299
157,12/11/19 10:00:01 PM,0.3269,0.2887,0.2303
158,12/11/19 10:30:01 PM,0.3261,0.2884,0.2303
159,12/11/19 11:00:01 PM,0.3256,0.2890,0.2306
160,12/11/19 11:30:01 PM,0.3256,0.2895,0.2311
161,12/12/19 12:00:01 AM,0.3256,0.2895,0.2315
